type,issuercode,issuername,assetname,assetcode,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,ANZ OA Inv-OnePath Australian Shares EF,ANZ0011AU,,,,,,,,,,,,,,,,
SC,ANZ,ANZ Managed Investments Limited,ANZ OA Inv Pfolio - ING Blue Chip Imputation EF,ANZ0013AU,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,ANZ Property Securities Trust,ANZ0030AU,,,,,,,,,,,,,,,,
SC,ANZ,ANZ Managed Investments Limited,ANZ OA Inv Pfolio - ING Managed Growth EF,ANZ0038AU,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,OnePath Wholesale Diversified Fixed Interest Trust,ANZ0212AU,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,OnePath Wholesale Select Leaders Trust,ANZ0216AU,,,,,,,,,,,,,,,,
SC,APN,APN Funds Management (Calastone),APN Property for Income Fund,APN0001AU,,,,,,,,,,,,,,,,
SC,APN,APN Funds Management (Calastone),APN Property For Income Fund No. 2,APN0004AU,,,,,,,,,,,,,,,,
SC,APN,APN Funds Management (Calastone),APN Direct Property Fund,APN0005AU,,,,,,,,,,,,,,,,
SC,APN,APN Funds Management (Calastone),APN Diversified Property Fund,APN0006AU,,,,,,,,,,,,,,,,
SC,APN,APN Funds Management (Calastone),APN AREIT Fund,APN0008AU,,,,,,,,,,,,,,,,
SC,APN,APN Funds Management (Calastone),APN Unlisted Property Fund,APN0016AU,,,,,,,,,,,,,,,,
SC,APZ,Aspen Funds Management Limited,Aspen Parks Wholesale  Property Fund,APZ0003AU,,,,,,,,,,,,,,,,
SC,NCS,NAB Custodian Services,Armada Ingle Farm Shopping Centre Trust,ARMA1000Q,,,,,,,,,,,,,,,,
SC,ARO,BNP Paribas Investment Partners (Australia) Limited,BNP Paribas Asset Management Europe Equity Fund,ARO0004AU,,,,,,,,,,,,,,,,
