type,issuercode,issuername,assetname,assetcode,,,,,,,,,,,,,,,,
SC,ADV,Advance Asset Management Limited,Advance Growth Multi-Blend Fund - Wholesale Units,ADV0085AU,,,,,,,,,,,,,,,,
SC,ADV,Advance Asset Management Limited,Advance High Growth Multi-Blend Fund - Ordinary Units,ADV0086AU,,,,,,,,,,,,,,,,
SC,ADV,Advance Asset Management Limited,Advance High Growth Multi-Blend Fund - Wholesale Units,ADV0087AU,,,,,,,,,,,,,,,,
SC,ADV,Advance Asset Management Limited,Advance International Fixed Interest Multi-Blend Fund - Ord,ADV0088AU,,,,,,,,,,,,,,,,
SC,ADV,Advance Asset Management Limited,Advance International Shares Core Fund - Ordinary Units,ADV0089AU,,,,,,,,,,,,,,,,
SC,ADV,Advance Asset Management Limited,Advance Moderate Multi-Blend Fund - Ordinary Units,ADV0090AU,,,,,,,,,,,,,,,,
SC,ADV,Advance Asset Management Limited,Advance Moderate Multi-Blend Fund - Wholesale Units,ADV0091AU,,,,,,,,,,,,,,,,
SC,ADV,Advance Asset Management Limited,Advance Mortgage Fund,ADV0092AU,,,,,,,,,,,,,,,,
SC,ADV,Advance Asset Management Limited,Advance Mortgage Fund - Wholesale Units,ADV0093AU,,,,,,,,,,,,,,,,
SC,ADV,Advance Asset Management Limited,Advance Property Securities Multi-Blend Fund - Ordinary,ADV0094AU,,,,,,,,,,,,,,,,
SC,ADV,Advance Asset Management Limited,Advance Property Securities Multi-Blend Fund - Wholesale Uni,ADV0095AU,,,,,,,,,,,,,,,,
SC,ADV,Advance Asset Management Limited,Advance Aust Smaller Co Multi-Blended Fund-W/S,ADV0096AU,,,,,,,,,,,,,,,,
SC,ADV,Advance Asset Management Limited,Advance Property Securities Fund,ADV0101AU,,,,,,,,,,,,,,,,
SC,ADV,Advance Asset Management Limited,Advance Global Alpha Fund - Wholesale Units,ADV0117AU,,,,,,,,,,,,,,,,
SC,ADV,Advance Asset Management Limited,Advance Tradewinds Global Equities Fund,ADV0134AU,,,,,,,,,,,,,,,,
SC,ADV,Advance Asset Management Limited,Advance Global Property Fund,ADV0135AU,,,,,,,,,,,,,,,,
SC,ADV,Advance Asset Management Limited,Advance Alternative Strategies Multi-Blend Fund - Wholesale,ADV0159AU,,,,,,,,,,,,,,,,
SC,ETL,Equity Trustees Ltd (Calastone),GAM Absolute Return Bond Fund - Wholesale,AFM0002AU,,,,,,,,,,,,,,,,
SC,AFM,Aurora Funds Management Limited,Aurora Fortitude Absolute Return Fund,AFM0005AU,,,,,,,,,,,,,,,,
SC,AFN,Aurora Funds Management Limited (Calastone),Aurora Dividend Income Trust,AFM0010AU,,,,,,,,,,,,,,,,
SC,AIN,Atrium Investment Mgt Pty Ltd,Atrium Global Equities Mandate No 1 Fund,AIM0001AU,,,,,,,,,,,,,,,,
SC,AIM,Atrium Investment Mgt Pty Ltd (NAS),Atrium Alternatives Fund,AIM0002AU,,,,,,,,,,,,,,,,
SC,AIM,Atrium Investment Mgt Pty Ltd (NAS),Atrium Enhanced Fixed Income Fund,AIM0003AU,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,OnePath Tax Effective Income Trust,AJF0003AU,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,OnePath Wholesale Balanced Trust,AJF0802AU,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,OnePath Wholesale Property Securities Trust,AJF0803AU,,,,,,,,,,,,,,,,
SC,MMF,OnePath Funds Management Limited,OnePath Wholesale Australian Share Trust,AJF0804AU,,,,,,,,,,,,,,,,
SC,APL,Allard Partners Australia Pty Limited,Allard Investment Fund (Equalisation),ALDA0001Q,,,,,,,,,,,,,,,,
SC,STI,Sandhurst Trustees Ltd - Adelaide,Adelaide Cash Management Trust,AMF0100AU,,,,,,,,,,,,,,,,
SC,AMR,AMP Capital Funds Management Limited,AMP FLI Conservative Fund,AMP0012AU,,,,,,,,,,,,,,,,
SC,AMR,AMP Capital Funds Management Limited,AMP FLI Balanced Growth Fund,AMP0013AU,,,,,,,,,,,,,,,,
SC,AMR,AMP Capital Funds Management Limited,AMP FLI Property Securities Fund,AMP0014AU,,,,,,,,,,,,,,,,
SC,AMR,AMP Capital Funds Management Limited,AMP FLI Future Directions Australian Share Fund,AMP0015AU,,,,,,,,,,,,,,,,
SC,AMR,AMP Capital Funds Management Limited,AMP FLI Blue Chip Fund,AMP0016AU,,,,,,,,,,,,,,,,
SC,AMR,AMP Capital Funds Management Limited,AMP FLI Future Directions International Share Fund,AMP0017AU,,,,,,,,,,,,,,,,
SC,AMR,AMP Capital Funds Management Limited,AMP FLI Equity Fund,AMP0018AU,,,,,,,,,,,,,,,,
SC,AMR,AMP Capital Funds Management Limited,AMP FLI UBS Australian Small Companies Fund,AMP0019AU,,,,,,,,,,,,,,,,
SC,AMR,AMP Capital Funds Management Limited,AMP FLI High Growth Fund,AMP0141AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Managed Treasury Fund - Wholesale,AMP0249AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital International Bond Fund - On-platform Class A,AMP0254AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Listed Property Trusts Fund-On-platform Class A,AMP0255AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Enhanced Index Share Fund - On-platform Class A,AMP0257AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Listed Property Trusts Fund - Wholesale,AMP0269AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Equity Fund -  On-platform Class A,AMP0370AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Balanced Growth Fund - On-platform Class A,AMP0441AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Conservative Fund - On-platform Class A,AMP0443AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Aust Small Companies Fund - On-platform Class A,AMP0446AU,,,,,,,,,,,,,,,,
SC,AMR,AMP Capital Funds Management Limited,AMP FLI Sustainable Future Australian Share Fund,AMP0448AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Sustainable Share Fund - On-platform Class A,AMP0449AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Sustainable Share Fund - Wholesale,AMP0450AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,Responsible Invest Leaders Balanced Fund-On-platform Class A,AMP0452AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Responsible Invest Leaders Intl Share Fd-On-platform A,AMP0455AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Responsible Invest Leaders International Share Fund -W/S,AMP0456AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Future Directions Balanced Fund - On-platform A,AMP0546AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Corporate Bond Fund - On-platform Class A,AMP0557AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Future Directions Growth Fund - Wholesale,AMP0558AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Australian Small Companies Fund - Wholesale,AMP0577AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Future Directions Conservative Fund - Wholesale,AMP0672AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Future Directions High Growth Fund - Platform A,AMP0675AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Future Directions Moderately Conserve Fund - W/S,AMP0678AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Specialist Australian Share Fund - Wholesale,AMP0681AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Enhanced Yield Fund - On-platform Class A,AMP0685AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Global Property Securities Fund - Wholesale,AMP0686AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Specialist International Share Fund - Class A,AMP0824AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Specialist International (Hedged) Share Fund - Class A,AMP0825AU,,,,,,,,,,,,,,,,
SC,AMR,AMP Capital Funds Management Limited,AMP FLI Future Directions International Share Fund,AMP0855AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Specialist Geared Australian Share Fund  - Class A,AMP0969AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Specialist Australian Small Companies Fund,AMP0973AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Global Property Sec Fund - On-platform Class A,AMP0974AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Wholesale Australian Bond Fund,AMP0981AU,,,,,,,,,,,,,,,,
SC,AMR,AMP Capital Funds Management Limited,AMP FLI Future Directions Property Fund,AMP1007AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Structured High Yield Fund - On-platform Class A,AMP1014AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Core Property Fund - On-platform Class A,AMP1015AU,,,,,,,,,,,,,,,,
SC,AMR,AMP Capital Funds Management Limited,AMP FLI Alliance Capital Global Technology,AMP1047AU,,,,,,,,,,,,,,,,
SC,AMR,AMP Capital Funds Management Limited,AMP FLI Australian Bond,AMP1048AU,,,,,,,,,,,,,,,,
SC,AMR,AMP Capital Funds Management Limited,AMP FLI - Responsible Inv Leaders Balanced Fund,AMP1056AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Value Plus Aust Share Fund - On-platform Class A,AMP1070AU,,,,,,,,,,,,,,,,
SC,AMF,AMP Capital Investors Limited,AMP Capital Global Property Sec Fund - Private Client - H,AMP1073AU,,,,,,,,,,,,,,,,
SC,AMF,AMP Capital Investors Limited,AMP Capital Core Property Fund - Class H,AMP1074AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Responsible Investment Leaders Australian Share Fund - A,AMP1151AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Core Infrastructure Fund - On-platform Class A,AMP1179AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Core Plus Strategies Fund - Class A,AMP1233AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Asian Equity Growth Fund - On-platform Class A,AMP1253AU,,,,,,,,,,,,,,,,
SC,AMF,AMP Capital Investors Limited,AMP Capital Corporate Bond Fund - Class H,AMP1285AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Global Infrastructure Securities Fund Unhedged A,AMP1593AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Global Infrastructure Securities Fund - Hedged A,AMP1595AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Multi - Asset Fund Class A,AMP1685AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Australian Equity Opportunities Fund  Platform A,AMP1783AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Aust Equity Concentrated Fund Platform Class A,AMP1820AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Australian Equity Income Generator Class A,AMP1905AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Dynamic Markets Fund-Platform Class A Units,AMP1932AU,,,,,,,,,,,,,,,,
SC,AMP,AMP Capital Funds Management Limited,AMP Capital Community Infrastructure Fund,AMPA1000Q,,,,,,,,,,,,,,,,
SC,REG,Regal Funds Management P/L,Regal Long Short Australian Equity Fund - Retail,AMR0006AU,,,,,,,,,,,,,,,,
SC,ANT,Antares Capital Partners,Fairview Equity Partners Emerging Companies Fund,ANT0002AU,,,,,,,,,,,,,,,,
SC,ALT,Altrinsic Global Advisors (Antares Capital) (Calastone),Altrinsic Global Equities Trust,ANT0005AU,,,,,,,,,,,,,,,,
SC,MLR,MLC Investments Ltd - Northward Capital,Northward Equity Income Fund,ANT0006AU,,,,,,,,,,,,,,,,
